MonthOfYear,DayOfWeek,HourOfDay,SupVentSpeed_AirHandling_System,ExhVentSp_AirHandling_System
1,7,6,4,3
1,7,6,3,3
1,7,7,4,3
1,7,7,3,3
1,7,7,3,3
1,7,7,3,3
1,7,7,4,3
1,7,7,4,3
1,7,7,4,3
1,7,8,4,3
1,7,8,4,3
1,7,8,4,3
1,7,8,4,3
1,7,8,4,3
1,7,8,4,3
1,7,8,4,3
1,7,8,4,3
1,7,9,4,3
1,7,9,3,3
1,7,9,4,3
1,7,9,3,3
1,7,9,4,3
1,7,9,4,3
1,7,9,3,3
1,7,10,4,3
1,7,10,3,3
1,7,10,3,3
1,7,10,3,3
1,7,10,4,3
1,7,10,4,3
1,7,10,4,3
1,7,10,4,3
1,7,11,3,3
1,7,11,4,3
1,7,11,3,3
1,7,11,3,3
1,7,11,4,3
1,7,11,4,3
1,7,11,4,3
1,7,12,3,3
1,7,12,4,3
1,7,12,4,3
1,7,12,4,3
1,7,12,4,3
1,7,12,4,3
1,7,12,3,3
1,7,12,4,3
1,7,13,3,3
1,7,13,4,3
1,7,13,4,3
1,7,13,4,3
1,7,13,4,3
1,7,13,4,3
1,7,13,4,3
1,7,14,4,3
1,7,14,3,3
1,7,14,4,3
1,7,14,4,3
1,7,14,4,3
1,7,14,4,3
1,7,14,4,3
1,7,14,4,3
1,7,15,4,3
1,7,15,4,3
1,7,15,4,3
1,7,15,4,3
1,7,15,3,3
1,7,15,3,3
1,7,15,4,3
1,7,16,4,3
1,7,16,4,3
1,7,16,4,3
1,7,16,4,3
1,7,16,4,3
1,7,16,4,3
1,7,16,4,3
1,7,16,4,3
1,7,17,4,3
1,7,17,4,3
1,7,17,4,3
1,7,17,3,3
1,7,17,3,3
1,7,17,3,3
1,7,17,4,3
1,7,18,4,3
1,7,18,3,3
1,7,18,3,3
1,7,18,3,3
1,7,18,4,3
1,7,18,4,3
1,7,18,4,3
1,7,18,3,3
1,7,19,3,3
1,7,19,4,3
1,7,19,4,3
1,7,19,4,3
1,7,19,4,3
1,7,19,4,3
1,7,19,3,3
1,7,20,4,3
1,7,20,4,3
1,7,20,4,3
1,7,20,4,3
1,7,20,4,3
1,7,20,4,3
1,7,20,3,3
1,7,20,4,3
1,7,21,3,3
1,7,21,3,3
1,7,21,3,3
1,7,21,4,3
1,7,21,3,3
1,7,21,4,3
1,7,21,3,3
1,7,22,4,3
1,7,22,4,3
1,7,22,4,3
1,7,22,4,3
1,7,22,3,3
1,7,22,4,3
1,7,22,4,3
1,7,22,4,3
1,7,23,4,3
1,7,23,4,3
1,7,23,4,3
1,7,23,4,3
1,7,23,4,3
1,7,23,3,3
1,7,23,4,3
1,1,0,4,3
1,1,0,4,3
1,1,0,3,3
1,1,0,4,3
1,1,0,4,3
1,1,0,4,3
1,1,0,4,3
1,1,0,4,3
1,1,1,4,3
1,1,1,4,3
1,1,1,4,3
1,1,1,4,3
1,1,1,4,3
1,1,1,4,3
1,1,1,4,3
1,1,2,4,3
1,1,2,3,3
1,1,2,3,3
1,1,2,4,3
1,1,2,4,3
1,1,2,4,3
1,1,2,3,3
1,1,2,4,3
1,1,3,4,3
1,1,3,4,3
1,1,3,4,3
1,1,3,3,3
1,1,3,4,3
1,1,3,4,3
1,1,3,4,3
1,1,4,4,3
1,1,4,4,3
1,1,4,4,3
1,1,4,4,3
1,1,4,4,3
1,1,4,4,3
1,1,4,4,3
1,1,4,3,3
1,1,5,4,3
1,1,5,4,3
1,1,5,4,3
1,1,5,4,3
1,1,5,4,3
1,1,5,4,3
1,1,5,4,3
1,1,6,4,3
1,1,6,4,3
1,1,6,4,3
1,1,6,4,3
1,1,6,4,3
1,1,6,4,3
1,1,6,4,3
1,1,6,4,3
1,1,7,4,3
1,1,7,4,3
1,1,7,4,3
1,1,7,4,3
1,1,7,4,3
1,1,7,3,3
1,1,7,4,3
1,1,8,4,3
1,1,8,4,3
1,1,8,4,3
1,1,8,3,3
1,1,8,4,3
1,1,8,4,3
1,1,8,4,3
1,1,8,4,3
1,1,9,3,3
1,1,9,4,3
1,1,9,4,3
1,1,9,4,3
1,1,9,4,3
1,1,9,4,3
1,1,9,3,3
1,1,10,4,3
1,1,10,4,3
1,1,10,4,3
1,1,10,4,3
1,1,10,4,3
1,1,10,4,3
1,1,10,4,3
1,1,10,4,3
1,1,11,4,3
1,1,11,4,3
1,1,11,4,3
1,1,11,4,3
1,1,11,4,3
1,1,11,4,3
1,1,11,4,3
1,1,12,4,3
1,1,12,4,3
1,1,12,4,3
1,1,12,4,3
1,1,12,4,3
1,1,12,4,3
1,1,12,3,3
1,1,12,3,3
1,1,13,4,3
1,1,13,4,3
1,1,13,4,3
1,1,13,3,3
1,1,13,4,3
1,1,13,3,3
1,1,13,4,3
1,1,14,3,3
1,1,14,4,3
1,1,14,4,3
1,1,14,3,3
1,1,14,3,3
1,1,14,3,3
1,1,14,4,3
1,1,14,4,3
1,1,15,3,3
1,1,15,3,3
1,1,15,3,3
1,1,15,3,3
1,1,15,3,3
1,1,15,3,3
1,1,15,3,3
1,1,16,4,3
1,1,16,4,3
1,1,16,3,3
1,1,16,3,3
1,1,16,3,3
1,1,16,4,3
1,1,16,4,3
1,1,16,3,3
1,1,17,4,3
1,1,17,3,3
1,1,17,4,3
1,1,17,4,3
1,1,17,4,3
1,1,17,3,3
1,1,17,4,3
1,1,18,4,3
1,1,18,4,3
1,1,18,4,3
1,1,18,4,3
1,1,18,4,3
1,1,18,4,3
1,1,18,4,3
1,1,18,4,3
1,1,19,4,3
1,1,19,4,3
1,1,19,3,3
1,1,19,4,3
1,1,19,4,3
1,1,19,4,3
1,1,19,4,3
1,1,20,4,3
1,1,20,4,3
1,1,20,3,3
1,1,20,4,3
1,1,20,4,3
1,1,20,4,3
1,1,20,4,3
1,1,20,4,3
1,1,21,4,3
1,1,21,4,3
1,1,21,4,3
1,1,21,4,3
1,1,21,3,3
1,1,21,4,3
1,1,21,4,3
1,1,22,4,3
1,1,22,4,3
1,1,22,4,3
1,1,22,4,3
1,1,22,4,3
1,1,22,4,3
1,1,22,4,3
1,1,22,4,3
1,1,23,4,3
1,1,23,4,3
1,1,23,4,3
1,1,23,4,3
1,1,23,4,3
1,1,23,4,3
1,1,23,4,3
1,2,0,4,3
1,2,0,4,3
1,2,0,3,3
1,2,0,4,3
1,2,0,4,3
1,2,0,4,3
1,2,0,4,3
1,2,0,4,3
1,2,1,4,3
1,2,1,4,3
1,2,1,4,3
1,2,1,4,3
1,2,1,4,3
1,2,1,3,3
1,2,1,4,3
1,2,2,4,3
1,2,2,4,3
1,2,2,4,3
1,2,2,4,3
1,2,2,4,3
1,2,2,4,3
1,2,2,4,3
1,2,2,4,3
1,2,3,3,3
1,2,3,4,3
1,2,3,3,3
1,2,3,4,3
1,2,3,4,3
1,2,3,4,3
1,2,3,4,3
1,2,4,4,3
1,2,4,4,3
1,2,4,4,3
1,2,4,4,3
1,2,4,4,3
1,2,4,4,3
1,2,4,4,3
1,2,4,4,3
1,2,5,1004,153
1,2,5,1154,953
1,2,5,1198,1053
1,2,5,1191,703
1,2,5,1198,1003
1,2,5,1200,1064
1,2,5,1194,664
1,2,6,1198,740
1,2,6,1203,1040
1,2,6,1202,1064
1,2,6,1202,1064
1,2,6,1202,1064
1,2,6,1202,1065
1,2,6,1203,1065
1,2,6,1202,1064
1,2,7,1203,1066
1,2,7,1204,1065
1,2,7,1203,1064
1,2,7,1202,1063
1,2,7,1202,1065
1,2,7,1203,1064
1,2,7,1205,1069
1,2,8,1205,1073
1,2,8,1203,973
1,2,8,1198,773
1,2,8,1185,173
1,2,8,1203,873
1,2,8,1204,1073
1,2,8,1200,923
1,2,8,1180,23
1,2,9,1181,74
1,2,9,1182,3
1,2,9,1192,503
1,2,9,1199,803
1,2,9,1204,1003
1,2,9,1195,503
1,2,9,1190,203
1,2,10,1205,1003
1,2,10,1206,1074
1,2,10,1186,274
1,2,10,1194,474
1,2,10,1206,974
1,2,10,1202,942
1,2,10,1193,542
1,2,10,1194,564
1,2,11,1205,1064
1,2,11,1204,1067
1,2,11,1202,1062
1,2,11,1202,1063
1,2,11,1202,1065
1,2,11,1203,1063
1,2,11,1202,1064
1,2,12,1203,1067
1,2,12,1202,1064
1,2,12,1201,1068
1,2,12,1203,1063
1,2,12,1201,1065
1,2,12,1203,1064
1,2,12,1203,1066
1,2,12,1202,1064
1,2,13,1203,1066
1,2,13,1205,1067
1,2,13,1202,1065
1,2,13,1201,1064
1,2,13,1203,1064
1,2,13,1202,1065
1,2,13,1205,1068
1,2,14,1202,1066
1,2,14,1201,1067
1,2,14,1205,1071
1,2,14,1204,1069
1,2,14,1202,1067
1,2,14,1203,1067
1,2,14,1202,1067
1,2,14,1203,1067
1,2,15,1201,1065
1,2,15,1201,1067
1,2,15,1203,1065
1,2,15,1203,1065
1,2,15,1201,1065
1,2,15,1203,1068
1,2,15,1203,1064
1,2,16,1201,1064
1,2,16,1203,1065
1,2,16,1201,1065
1,2,16,1203,1066
1,2,16,1203,1067
1,2,16,1204,1065
1,2,16,1202,1067
1,2,16,1201,1063
1,2,17,1203,1065
1,2,17,1204,1064
1,2,17,1200,1066
1,2,17,950,816
1,2,17,50,16
1,2,17,4,3
1,2,17,4,3
1,2,18,4,3
1,2,18,4,3
1,2,18,4,3
1,2,18,4,3
1,2,18,4,3
1,2,18,4,3
1,2,18,4,3
1,2,18,3,3
1,2,19,4,3
1,2,19,4,3
1,2,19,3,3
1,2,19,4,3
1,2,19,3,3
1,2,19,3,3
1,2,19,4,3
1,2,20,3,3
1,2,20,4,3
1,2,20,4,3
1,2,20,4,3
1,2,20,4,3
1,2,20,4,3
1,2,20,4,3
1,2,20,4,3
1,2,21,4,3
1,2,21,3,3
1,2,21,4,3
1,2,21,4,3
1,2,21,4,3
